Id,Burg,Province,Province Full Name,State,State Full Name,Culture,Religion,Group,Population,X,Y,Latitude,Longitude,Elevation (ft),Temperature,Temperature likeness,Capital,Port,Citadel,Walls,Plaza,Temple,Shanty Town,Emblem,Preview link
21,Stagport,Thornfone,Thornfone Province,Pudrock,Republic of Pudrock,Dail (Human),Arcanum of the Forefather of Love,village,1320,306.08,260.88,40.97,-26.33,328,50°F,London (England),,,,,,,,{t1:barry-argent-vert-small;charges:[{charge:dragonRampant;t:azure;p:e;t2:azure;t3:azure;size:1.5}];shield:roman},https://watabou.github.io/village-generator/?pop=1320&name=Stagport&seed=5642600450021&width=1400&height=683&style=default&tags=river%2Chighway%2Cno+square%2Cdense
22,Nelbaz,Nudh,Nudh Margrave,Staglenia,Kingdom of Staglenia,Uruk (Orkish),Neverchism,town,5917,434.31,95.62,50.93,-18.6,472,39°F,Reykjavik (Iceland),,,,,,,,{t1:gules;division:{division:perSaltire;t:or};ordinaries:[{ordinary:terrace;t:argent;line:straight}];charges:[{charge:inescutcheon;t:argent;p:e;size:1.5};{charge:inescutcheon;t:azure;p:e;size:0.75}];shield:urukHai},https://watabou.github.io/city-generator/?name=Nelbaz&population=5917&size=25&seed=5642600450022&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
23,Mocceg,Lulzug,Lulzug Shire,Bocyurt,Beylik of Bocyurt,Uruk (Orkish),Neverchism,town,5130,727.8,136.62,48.46,-0.89,1447,39°F,Reykjavik (Iceland),,,,,,,,{t1:tenné;charges:[{charge:dragonPassant;t:argent;p:jeo;t2:or;t3:or;size:0.5}];shield:urukHai},https://watabou.github.io/city-generator/?name=Mocceg&population=5130&size=24&seed=5642600450023&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
24,Bozdog,Bozdog,Bozdog County,Staglenia,Kingdom of Staglenia,Uruk (Orkish),Neverchism,city,10281,351.47,75.8,52.13,-23.59,472,39°F,Reykjavik (Iceland),,,,walls,plaza,,,{t1:gules;ordinaries:[{ordinary:bendSinister;t:argent;line:urdy}];charges:[{charge:triangle;t:argent;p:ai;size:0.5}];shield:urukHai},https://watabou.github.io/city-generator/?name=Bozdog&population=10281&size=31&seed=5642600450024&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&style=natural
25,Zugkez,Widzirkun,Widzirkun County,Toza,Tozan Empire,Yotunn (Giants),Neverchism,village,1208,283.93,433.34,30.57,-27.67,554,61°F,Dubrovnik (Croatia),,,,,,,,{t1:chequy-argent-azure;ordinaries:[{ordinary:bend;t:vert;line:straight}];shield:pavise},https://watabou.github.io/village-generator/?pop=1208&name=Zugkez&seed=5642600450025&width=1400&height=683&style=default&tags=river%2Cdead+end%2Cno+square%2Cdense
26,Modh-Cha,Khar,Khar County,Staglenia,Kingdom of Staglenia,Uruk (Orkish),Neverchism,town,4696,458.59,101.12,50.6,-17.13,1184,37°F,Tromsø (Norway),,,,walls,,,,{t1:gules;ordinaries:[{ordinary:chief;t:or;line:flechy}];charges:[{charge:crossTau;t:gules;p:abc;size:0.5}];shield:urukHai},https://watabou.github.io/city-generator/?name=Modh-Cha&population=4696&size=23&seed=5642600450026&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&style=natural
27,Khovd,Sumbe,Sumbe County,Sarprakeli,Sarprakelian Khaganate,Dulandir (Human),Witnesses of Elloragh,town,2701,1141.7,270.62,40.38,24.09,210,54°F,Paris (France),,,,,,,,{t1:sable;charges:[{charge:crossClechy;t:argent;p:e;size:1.5}];shield:easterling},https://watabou.github.io/city-generator/?name=Khovd&population=2701&size=19&seed=5642600450027&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
28,Dozovalura,Boku,Boku County,Vuyurt,Vuyurt Khaganate,Rohand (Human),Witnesses of Elloragh,village,1006,891.98,167.52,46.6,9.02,738,45°F,Montreal (Canada),,,,,,,,{t1:gules;division:{division:chevronny;t:argent};charges:[{charge:inescutcheon;t:or;p:e;size:1.5};{charge:scissors;t:sable;p:e;size:0.75;reversed:1}];shield:round},https://watabou.github.io/village-generator/?pop=1006&name=Dozovalura&seed=5642600450028&width=1400&height=683&style=default&tags=dead+end%2Cno+square%2Cdense
29,Gloomersi,Elight,Elight Earldom,Grirongria,Duchy of Grirongria,Dail (Human),Neverchism,village,1953,413.68,336.34,36.42,-19.84,210,57°F,Washington (D.C.),,port,,,plaza,,,{t1:argent;charges:[{charge:lymphad;t:azure;p:e;t2:azure;t3:sable;size:1.5}];shield:roman},https://watabou.github.io/village-generator/?pop=1953&name=Gloomersi&seed=5642600450029&width=1600&height=780&style=default&tags=coast%2Chighway%2Cdense
30,Srokzinb,New Buyburdi,New Buyburdi Colony,Vuyurt,Vuyurt Khaganate,Yotunn (Giants),Witnesses of Elloragh,village,1162,892.29,583.8,21.49,9.04,13,73°F,Rio de Janeiro (Brazil),,,,,,,,{t1:gules;charges:[{charge:boat2;t:argent;p:e;size:1.5}];shield:pavise},https://watabou.github.io/village-generator/?pop=1162&name=Srokzinb&seed=5642600450030&width=1400&height=683&style=default&tags=dead+end%2Cno+square%2Cdense
31,Ghosthall,Edkeepcairn,Edkeepcairn Landgrave,Staglenia,Kingdom of Staglenia,Anor (Human),Neverchism,town,6275,351.24,141.27,48.18,-23.61,1312,39°F,Reykjavik (Iceland),,,,,,,,{t1:gules;ordinaries:[{ordinary:pile;t:argent}];charges:[{charge:scale;t:gules;p:b;t2:gules;size:0.5}];shield:fantasy5},https://watabou.github.io/city-generator/?name=Ghosthall&population=6275&size=26&seed=5642600450031&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
32,Balazbey,Elight,Elight Earldom,Grirongria,Duchy of Grirongria,Rohand (Human),Neverchism,town,8937,465.88,365.94,34.63,-16.69,30,59°F,Rome (Italy),,port,,,,,,{t1:argent;ordinaries:[{ordinary:bend;t:purpure;line:dancetty}];charges:[{charge:hand;t:argent;p:jo;size:0.7}];shield:round},https://watabou.github.io/city-generator/?name=Balazbey&population=8937&size=30&seed=5642600450032&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural&sea=1.93
33,Qhosh,Qhosh,Qhosh County,Toza,Tozan Empire,Arago (Arachnid),Neverchism,town,7768,163.27,382.39,33.64,-34.95,3573,45°F,Montreal (Canada),,,,,,,,{t1:argent;ordinaries:[{ordinary:bendSinister;t:sable;line:straight}];charges:[{charge:dragonRampant;t:argent;p:e;t2:argent;t3:argent;size:0.7}];shield:horsehead2},https://watabou.github.io/city-generator/?name=Qhosh&population=7768&size=28&seed=5642600450033&river=1&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
34,Yelpolure,Ediyurt,Ediyurt County,Sarprakeli,Sarprakelian Khaganate,Rohand (Human),Rohand (Human) Faith,town,6481,1123.8,323.6,37.18,23.01,30,55°F,Milan (Italy),,,,,,,,{t1:gules;charges:[{charge:griffinRampant;t:argent;p:e;t2:argent;t3:argent;size:1.5}];shield:round},https://watabou.github.io/city-generator/?name=Yelpolure&population=6481&size=26&seed=5642600450034&river=1&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
35,Ellugausthoz,Ullemarmel,Ullemarmel Barony,Onimydrait,Kingdom of Onimydrait,Lothian (Dark Elfish),Witnesses of Elloragh,village,1278,1276.92,544.94,23.84,32.25,1312,63°F,Lisbon (Portugal),,,,,,,,{t1:purpure;charges:[{charge:cancer;t:or;p:e;size:1.5}];shield:wedged},https://watabou.github.io/village-generator/?pop=1278&name=Ellugausthoz&seed=5642600450035&width=1400&height=683&style=default&tags=river%2Chighway%2Cno+square%2Cdense
36,Amalaz,Amalaz,Amalaz County,Sarprakeli,Sarprakelian Khaganate,Rohand (Human),Rohand (Human) Faith,city,10839,1119.81,345.69,35.85,22.77,13,57°F,Washington (D.C.),,,,walls,plaza,,,{t1:argent;division:{division:perCross;t:sable;line:straight};charges:[{charge:hook;t:purpure;p:jo;divided:counter;size:0.7}];shield:round},https://watabou.github.io/city-generator/?name=Amalaz&population=10839&size=32&seed=5642600450036&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&style=natural
37,Dhodh,Lulgor,Lulgor County,Staglenia,Kingdom of Staglenia,Uruk (Orkish),Neverchism,town,6835,520,167.69,46.59,-13.42,2572,37°F,Tromsø (Norway),,,,,,,,{t1:azure;ordinaries:[{ordinary:terrace;t:or;line:firTrees}];charges:[{charge:inescutcheon;t:or;p:e;size:1.5};{charge:pike;t:azure;p:e;size:0.75}];shield:urukHai},https://watabou.github.io/city-generator/?name=Dhodh&population=6835&size=27&seed=5642600450037&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
38,Zragzel,Lulgor,Lulgor County,Staglenia,Kingdom of Staglenia,Uruk (Orkish),Neverchism,town,4516,476.39,127.93,48.98,-16.06,840,41°F,Harbin (China),,,,,,,,{t1:sable;ordinaries:[{ordinary:point;t:argent}];charges:[{charge:sword;t:or;p:def;t2:or;size:0.5}];shield:urukHai},https://watabou.github.io/city-generator/?name=Zragzel&population=4516&size=23&seed=5642600450038&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
39,Ordud,Zulb,Zulb County,Vuyurt,Vuyurt Khaganate,Uruk (Orkish),Witnesses of Elloragh,town,3950,893.16,94.2,51.02,9.09,472,39°F,Reykjavik (Iceland),,,,,,,,{t1:azure;ordinaries:[{ordinary:bend;t:or;line:invecked}];charges:[{charge:earOfWheat;t:azure;p:e;size:0.7}];shield:urukHai},https://watabou.github.io/city-generator/?name=Ordud&population=3950&size=22&seed=5642600450039&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
40,Ikhkhusgol,Khankhania,Khankhania County,Sarprakeli,Sarprakelian Khaganate,Dulandir (Human),Witnesses of Elloragh,village,1368,1102.99,253.01,41.44,21.75,266,50°F,London (England),,,,,plaza,,,{t1:fretty-argent-gules-small;division:{division:perPale;t:vert;line:straight};ordinaries:[{ordinary:gemelle;t:purpure;line:straight}];shield:easterling},https://watabou.github.io/village-generator/?pop=1368&name=Ikhkhusgol&seed=5642600450040&width=1400&height=683&style=default&tags=highway%2Cfarmland%2Cdense
41,Tsel,Tsalanon,Tsalanon County,Sarprakeli,Sarprakelian Khaganate,Dulandir (Human),Witnesses of Elloragh,village,859,1387.64,301.43,38.52,38.93,4990,37°F,Tromsø (Norway),,,,,,,,{t1:argent;division:{division:perBendSinister;t:sable;line:straight};charges:[{charge:cannon;t:gules;p:j;t2:gules;size:0.7};{charge:lochaberAxe;t:or;p:o;size:0.7}];shield:easterling},https://watabou.github.io/village-generator/?pop=859&name=Tsel&seed=5642600450041&width=1000&height=488&style=snow&tags=river%2Cisolated%2Cno+square%2Cdense
42,Tengribay,Bozdemir,Bozdemir County,Ayazbeyurt,Ayazbeyurt Horde,Rohand (Human),Neverchism,town,9583,406.42,435.76,30.42,-20.28,30,63°F,Lisbon (Portugal),,port,citadel,,plaza,,,{t1:azure;charges:[{charge:anvil;t:argent;p:abc;size:0.5}];shield:round},https://watabou.github.io/city-generator/?name=Tengribay&population=9583&size=30&seed=5642600450042&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=true&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&style=natural&sea=0.36
43,Kocayazde,Buyurt,Buyurt County,Ortarith,Duchy of Ortarith,Rohand (Human),Witnesses of Elloragh,town,2960,1089.9,480.1,27.75,20.96,210,66°F,Marrakesh (Morocco),,,citadel,,plaza,,,{t1:purpure;charges:[{charge:anvil;t:or;p:e;size:1.5;sinister:1}];shield:round},https://watabou.github.io/city-generator/?name=Kocayazde&population=2960&size=20&seed=5642600450043&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&style=natural
44,Kor Teli,Kor Teli,Kor Teli County,Sarprakeli,Sarprakelian Khaganate,Rohand (Human),Rohand (Human) Faith,city,17429,1188.02,377.75,33.92,26.88,30,59°F,Rome (Italy),,port,citadel,walls,plaza,,,{t1:barry-or-azure-small;charges:[{charge:anchor;t:gules;p:e;size:1.5}];shield:round},https://watabou.github.io/city-generator/?name=Kor+Teli&population=17429&size=38&seed=5642600450044&river=1&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&style=natural&sea=1.5
45,Kedidelen,Ser,Ser County,Yaryurt,Yaryurt Horde,Rohand (Human),Neverchism,town,4659,585.69,322.63,37.24,-9.46,30,55°F,Milan (Italy),,,,,plaza,,,{t1:purpure;ordinaries:[{ordinary:terrace;t:argent;line:straight}];charges:[{charge:swan;t:argent;p:bdf;t2:argent;t3:or;size:0.5}];shield:round},https://watabou.github.io/city-generator/?name=Kedidelen&population=4659&size=23&seed=5642600450045&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&style=natural
46,Askibesen,Bozdemyurt,Bozdemyurt Earldom,Vuyurt,Vuyurt Khaganate,Rohand (Human),Witnesses of Elloragh,city,17869,800.34,212.4,43.89,3.49,13,48°F,Copenhagen (Denmark),,,citadel,walls,plaza,,,{t1:argent;ordinaries:[{ordinary:pall;t:vert}];charges:[{charge:fusil;t:argent;p:e;size:0.7}];shield:round},https://watabou.github.io/city-generator/?name=Askibesen&population=17869&size=39&seed=5642600450046&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&style=natural
47,Qiccoz,Qiccoz,Qiccoz County,Staglenia,Kingdom of Staglenia,Uruk (Orkish),Neverchism,city,11890,341.69,62.84,52.91,-24.18,554,37°F,Tromsø (Norway),,,,walls,plaza,,,{t1:argent;charges:[{charge:crocodile;t:gules;p:e;t2:gules;size:1.5}];shield:urukHai},https://watabou.github.io/city-generator/?name=Qiccoz&population=11890&size=33&seed=5642600450047&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&style=natural
48,Ghostpoint,Steam,Steam County,Staglenia,Kingdom of Staglenia,Anor (Human),Neverchism,town,5865,412.73,188.11,45.36,-19.9,210,46°F,Prague (Czechia),,,,,,,,{t1:gules;charges:[{charge:scaleImbalanced;t:argent;p:e;t2:argent;size:1.5}];shield:fantasy5},https://watabou.github.io/city-generator/?name=Ghostpoint&population=5865&size=25&seed=5642600450048&river=1&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
49,Bokovakar,Uluovasi,Uluovasi Land,Pudrock,Republic of Pudrock,Rohand (Human),Neverchism,town,7219,338.92,370.41,34.36,-24.35,328,57°F,Washington (D.C.),,,,,,,,{t1:purpure;charges:[{charge:pike;t:argent;p:e;t2:argent;size:1.5}];shield:round},https://watabou.github.io/city-generator/?name=Bokovakar&population=7219&size=27&seed=5642600450049&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
